epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1593993600,9087.41,2020-07-06 00:00:00+00:00,2700.93273797,0.0,0.0,0.0,3523.2706436900003,12.6314999,0.0,214.462876,32.142169169999995,0.0,1847.40684113,0.0,674.08589898,0.0,103.17845314,24.0816365,1462.05522008,120.92616487000001,0.0,0.0,10715.174141429998
1594080000,9342.38,2020-07-07 00:00:00+00:00,3414.8080528399996,0.0,0.0,0.0,5006.18906204,163.77192139999997,0.0,328.70229792,46.76795427999999,0.0,2640.2780389399995,0.0,767.3176965399999,0.0,118.73230741999998,23.449373799999996,1680.0869073,159.53048088,0.0,0.0,14349.634093359997
1594166400,9253.63,2020-07-08 00:00:00+00:00,3062.43332672,0.0,0.0,0.0,3066.6437283699997,2.09132038,0.0,203.40404102999997,32.33218322,0.0,1531.7996420499999,0.0,521.85846385,0.0,110.47908856999999,19.19202862,1212.6419433499998,93.52643841,0.0,0.0,9856.402204569999
1594252800,9432.17,2020-07-09 00:00:00+00:00,3686.27124723,0.0,0.0,0.0,4086.44992382,187.81336904,0.0,249.46203216,52.31081482,0.0,1921.05949607,0.0,721.80624142,0.0,106.73443572,24.32556643,1591.0655964500002,149.69797007,0.0,0.0,12776.99669323
1594339200,9235.72,2020-07-10 00:00:00+00:00,3858.62840168,0.0,0.0,0.0,4899.97430312,153.42378064,0.0,292.42136664,53.992019119999995,0.0,2371.41888152,0.0,943.11478352,0.0,140.59536556,28.196653159999997,1916.19947844,182.83954883999996,0.0,0.0,14840.804582239998
1594425600,9282.91,2020-07-11 00:00:00+00:00,2547.86174188,0.0,0.0,0.0,2690.47508821,152.62032331,0.0,180.85893553,19.03924841,0.0,1243.76141344,0.0,552.03609188,0.0,106.81844537,15.73453245,1093.1554815999998,81.82885165,0.0,0.0,8684.19015373
1594512000,9234.31,2020-07-12 00:00:00+00:00,1640.2904853,0.0,0.0,0.0,1760.7797621799998,150.59312748,0.0,112.18763219,21.98689211,0.0,811.2618364299999,0.0,352.71370476,0.0,95.17803317,10.58251926,740.39774149,38.451666839999994,0.0,0.0,5734.42340121
1594598400,9297.48,2020-07-13 00:00:00+00:00,3509.36171844,0.0,0.0,0.0,3485.24405532,153.09230568,0.0,215.469099,32.06700852,0.0,1775.3816984399998,0.0,629.7090229199999,0.0,122.06661491999999,19.785037439999996,1364.1541580399999,103.0160784,0.0,0.0,11409.34679712
1594684800,9240.76,2020-07-14 00:00:00+00:00,3215.89536912,0.0,0.0,0.0,3438.9950378000003,154.66260012,0.0,274.23803452,30.80869384,0.0,1797.76213572,0.0,660.28002428,0.0,134.05570532000002,18.8973542,1453.08178772,119.55695288000001,0.0,0.0,11298.23369552
1594771200,9247.06,2020-07-15 00:00:00+00:00,2799.1220502399997,0.0,0.0,0.0,2683.7279885,766.36859162,0.0,211.72993282,30.293368559999998,0.0,1303.0032245999998,0.0,504.54733477999997,0.0,141.62797095999997,12.8071781,1216.83911952,93.69121192,0.0,0.0,9763.757971620002
1594857600,9203.37,2020-07-16 00:00:00+00:00,3482.7944956200004,0.0,0.0,0.0,3716.0723150100002,774.4359753900001,0.0,257.24339487000003,47.87593074,0.0,1865.4494720400003,0.0,728.9989377,0.0,180.1099509,18.50797707,1508.57959692,133.72496610000002,0.0,0.0,12713.793012360002
